,Order Date,Region,City,Category,Sub-Category,Product Name,Quantity,Unit Price,Discount,Sales,Profit,Payment Mode,Order_Date,Year,Month,Day,DayOfWeek,IsWeekend,Quarter,Sales_Lag_7,Sales_Lag_14,Sales_Lag_30,Rolling_Avg_7,Rolling_Avg_14,Discount_Rate,Effective_Price,Category_SubCategory,Customer_Count,Is_Holiday,Holiday_Type,temperature_max,temperature_min,precipitation_sum,rain_sum,Date_City_Key,Temperature_Avg,Temperature_Variance,Is_Rainy_Day,Rainfall_Category,Holiday_Rainfall,Holiday_Temperature,Season,Weekend_Holiday
0,2024-10-19,South,Bangalore,Books,Non-Fiction,Non-Fiction Ipsum,2,36294,5,68958.6,10525.09,Debit Card,2024-10-19,2024,10,19,5,1,4,,,,68958.6,68958.6,0.05,34479.299999999996,Books_Non-Fiction,27,0,None,27.45,14.9,0.0,0.0,2024-10-19_Bangalore,21.175,12.550001,0,None,0.0,0.0,Winter,0
1,2025-08-30,North,Delhi,Groceries,Rice,Rice Nemo,1,42165,20,33732.0,6299.66,Debit Card,2025-08-30,2025,8,30,5,1,3,,,,33732.0,33732.0,0.2,33732.0,Groceries_Rice,25,0,None,18.3,7.85,0.0,0.0,2025-08-30_Delhi,13.075,10.449999,0,None,0.0,0.0,Monsoon,0
2,2023-11-04,East,Patna,Kitchen,Juicer,Juicer Odio,4,64876,20,207603.2,19850.27,Credit Card,2023-11-04,2023,11,4,5,1,4,,,,207603.2,207603.2,0.2,51900.8,Kitchen_Juicer,26,0,None,21.45,10.7,0.0,0.0,2023-11-04_Patna,16.075,10.750001,0,None,0.0,0.0,Winter,0
3,2025-05-23,East,Kolkata,Groceries,Oil,Oil Doloribus,5,37320,15,158610.0,36311.02,UPI,2025-05-23,2025,5,23,4,0,2,,,,158610.0,158610.0,0.15,31722.0,Groceries_Oil,25,0,None,24.7,15.75,0.2,0.2,2025-05-23_Kolkata,20.225,8.950001,1,Light,0.0,0.0,Summer,0
4,2025-01-19,West,Pune,Clothing,Kids Wear,Kids Wear Quo,1,50037,10,45033.3,9050.04,Debit Card,2025-01-19,2025,1,19,6,1,1,,,,45033.3,45033.3,0.1,45033.3,Clothing_Kids Wear,23,0,None,29.85,14.15,0.0,0.0,2025-01-19_Pune,22.0,15.700001,0,None,0.0,0.0,Winter,0
5,2025-04-06,West,Pune,Furniture,Chair,Chair Assumenda,5,40287,15,171219.75,23722.84,Credit Card,2025-04-06,2025,4,6,6,1,2,,,,171219.75,171219.75,0.15,34243.95,Furniture_Chair,24,0,None,29.85,14.15,0.0,0.0,2025-04-06_Pune,22.0,15.700001,0,None,0.0,0.0,Summer,0
6,2023-10-13,West,Mumbai,Clothing,Accessories,Accessories Minima,2,3636,5,6908.4,680.26,Debit Card,2023-10-13,2023,10,13,4,0,4,,,,6908.4,6908.4,0.05,3454.2,Clothing_Accessories,24,0,None,27.3,16.4,0.0,0.0,2023-10-13_Mumbai,21.849998,10.9,0,None,0.0,0.0,Winter,0
7,2025-08-17,North,Lucknow,Books,Biography,Biography Vel,1,15885,10,14296.5,1289.03,Debit Card,2025-08-17,2025,8,17,6,1,3,,,,14296.5,14296.5,0.1,14296.5,Books_Biography,41,0,None,20.6,8.7,0.0,0.0,2025-08-17_Lucknow,14.65,11.900001,0,None,0.0,0.0,Monsoon,0
8,2025-03-07,North,Jaipur,Groceries,Spices,Spices Expedita,1,40834,20,32667.2,3700.89,Credit Card,2025-03-07,2025,3,7,4,0,1,,,,32667.2,32667.2,0.2,32667.2,Groceries_Spices,28,0,None,19.65,7.15,0.0,0.0,2025-03-07_Jaipur,13.4,12.5,0,None,0.0,0.0,Summer,0
9,2024-12-02,West,Goa,Kitchen,Juicer,Juicer Voluptatibus,2,16686,15,28366.2,5703.09,UPI,2024-12-02,2024,12,2,0,0,4,,,,28366.2,28366.2,0.15,14183.1,Kitchen_Juicer,45,0,None,33.6,20.25,0.0,0.0,2024-12-02_Goa,26.925,13.349998,0,None,0.0,0.0,Winter,0
