,Quantity,Unit Price,Discount,Year,Month,Day,DayOfWeek,IsWeekend,Quarter,Sales_Lag_7,Sales_Lag_14,Rolling_Avg_7,Rolling_Avg_14,Customer_Count,Is_Holiday,Temperature_Avg,Weekend_Holiday,Holiday_Rainfall,Season,Rainfall_Category
0,2,36294,5,2024,10,19,5,1,4,,,68958.6,68958.6,27,0,21.175,0,0.0,Winter,None
1,1,42165,20,2025,8,30,5,1,3,,,33732.0,33732.0,25,0,13.075,0,0.0,Monsoon,None
2,4,64876,20,2023,11,4,5,1,4,,,207603.2,207603.2,26,0,16.075,0,0.0,Winter,None
3,5,37320,15,2025,5,23,4,0,2,,,158610.0,158610.0,25,0,20.225,0,0.0,Summer,Light
4,1,50037,10,2025,1,19,6,1,1,,,45033.3,45033.3,23,0,22.0,0,0.0,Winter,None
5,5,40287,15,2025,4,6,6,1,2,,,171219.75,171219.75,24,0,22.0,0,0.0,Summer,None
6,2,3636,5,2023,10,13,4,0,4,,,6908.4,6908.4,24,0,21.849998,0,0.0,Winter,None
7,1,15885,10,2025,8,17,6,1,3,,,14296.5,14296.5,41,0,14.65,0,0.0,Monsoon,None
8,1,40834,20,2025,3,7,4,0,1,,,32667.2,32667.2,28,0,13.4,0,0.0,Summer,None
9,2,16686,15,2024,12,2,0,0,4,,,28366.2,28366.2,45,0,26.925,0,0.0,Winter,None
10,2,10761,20,2025,8,24,6,1,3,,,17217.6,17217.6,19,0,14.65,0,0.0,Monsoon,None
11,3,27066,10,2024,5,21,1,0,2,,,73078.2,73078.2,24,0,25.0,0,0.0,Summer,None
12,1,53951,5,2024,12,5,3,0,4,,,51253.45,51253.45,34,0,11.8,0,0.0,Winter,None
13,5,23843,0,2023,12,3,6,1,4,,,119215.0,119215.0,27,0,16.075,0,0.0,Winter,None
14,2,15444,5,2025,7,25,4,0,3,,,29343.6,29343.6,25,0,13.4,0,0.0,Monsoon,None
15,5,51645,10,2023,10,13,4,0,4,,,232402.5,232402.5,24,0,23.425,0,0.0,Winter,Light
16,3,52691,15,2024,5,24,4,0,2,,,134362.05,134362.05,25,0,25.0,0,0.0,Summer,None
17,4,3775,10,2025,9,7,6,1,3,,,13590.0,13590.0,28,0,24.925,0,0.0,Monsoon,None
18,3,16579,20,2024,6,15,5,1,2,,,39789.6,39789.6,34,0,16.075,0,0.0,Monsoon,None
19,5,36393,5,2024,1,11,3,0,1,,,172866.75,172866.75,27,0,22.0,0,0.0,Winter,None
20,1,6574,20,2023,10,15,6,1,4,,,5259.2,5259.2,27,0,21.075,0,0.0,Winter,None
21,5,26762,15,2024,3,16,5,1,1,,,113738.5,113738.5,25,0,14.65,0,0.0,Summer,None
22,1,47699,20,2023,11,2,3,0,4,,,38159.2,38159.2,38,0,21.525,0,0.0,Winter,None
23,1,28257,10,2025,7,10,3,0,3,,,25431.3,25431.3,18,0,16.7,0,0.0,Monsoon,None
24,5,24056,20,2025,6,21,5,1,2,,,96224.0,96224.0,25,0,11.8,0,0.0,Monsoon,None
25,2,65756,5,2024,1,13,5,1,1,,,69263.2,69263.2,28,0,24.925,0,0.0,Winter,None
